entrez_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome
9627,A_23_P19020,9483,SNCAIP,"synuclein, alpha interacting protein",9627.0,5
9628,A_23_P205666,9484,RGS6,regulator of G-protein signaling 6,9628.0,14
9629,A_23_P34382,9485,CLCA3P,"chloride channel accessory 3, pseudogene",9629.0,1
9630,A_23_P169479,9486,GNA14,"guanine nucleotide binding protein (G protein), alpha 14",9630.0,9
9631,CUST_9480_PI416261804,9487,NUP155,nucleoporin 155kDa,9631.0,5
9632,A_24_P255338,9488,SEC24C,"SEC24 family, member C (S. cerevisiae)",9632.0,10
9633,A_23_P161507,9489,MTL5,"metallothionein-like 5, testis-specific (tesmin)",9633.0,11
9635,CUST_10597_PI416261804,9491,CLCA2,chloride channel accessory 2,9635.0,1
9636,A_23_P819,9492,ISG15,ISG15 ubiquitin-like modifier,9636.0,1
9637,A_23_P39718,9493,FEZ2,fasciculation and elongation protein zeta 2 (zygin II),9637.0,2
9638,A_23_P202881,9494,FEZ1,fasciculation and elongation protein zeta 1 (zygin I),9638.0,11
9639,A_23_P216282,9495,ARHGEF10,Rho guanine nucleotide exchange factor (GEF) 10,9639.0,8
9640,A_32_P113193,9496,ZNF592,zinc finger protein 592,9640.0,15
9641,A_23_P887,9497,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",9641.0,1
9643,A_23_P114405,9499,MORF4L2,mortality factor 4 like 2,9643.0,X
9644,A_23_P35456,9500,SH3PXD2A,SH3 and PX domains 2A,9644.0,10
9645,A_23_P24843,9501,MICAL2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",9645.0,11
9646,A_23_P127676,9502,CTR9,"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",9646.0,11
9647,A_24_P125894,9503,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent, 1F",9647.0,22
9648,A_32_P129660,9504,GCC2,GRIP and coiled-coil domain containing 2,9648.0,2
9649,A_32_P221991,9505,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1,9649.0,9
9650,CUST_12180_PI416261804,9506,MTFR1,mitochondrial fission regulator 1,9650.0,8
9651,A_24_P62469,9507,PLCH2,"phospholipase C, eta 2",9651.0,1
9652,CUST_5804_PI416261804,9508,TTC37,tetratricopeptide repeat domain 37,9652.0,5
9653,A_32_P150928,9509,HS2ST1,heparan sulfate 2-O-sulfotransferase 1,9653.0,1
9654,A_23_P142697,9510,TTLL4,"tubulin tyrosine ligase-like family, member 4",9654.0,2
9655,A_24_P328492,9511,SOCS5,suppressor of cytokine signaling 5,9655.0,2
9656,A_23_P19455,9512,MDC1,mediator of DNA-damage checkpoint 1,9656.0,6
9657,A_23_P84140,9513,IQCB1,IQ motif containing B1,9657.0,3
9658,A_23_P55606,9514,ZNF516,zinc finger protein 516,9658.0,18
9659,CUST_13452_PI416261804,9515,PDE4DIP,phosphodiesterase 4D interacting protein,9659.0,1
9662,A_23_P212792,9518,CEP135,centrosomal protein 135kDa,9662.0,4
9663,A_24_P301557,9519,LPIN2,lipin 2,9663.0,18
9665,A_23_P26674,9521,KIAA0430,KIAA0430,9665.0,16
9666,A_24_P102504,9522,DZIP3,"DAZ interacting protein 3, zinc finger",9666.0,3
9667,A_23_P27894,9523,SAFB2,scaffold attachment factor B2,9667.0,19
9668,CUST_1245_PI416261804,9524,ZNF432,zinc finger protein 432,9668.0,19
9669,A_23_P218608,9525,EIF5B,eukaryotic translation initiation factor 5B,9669.0,2
9670,A_23_P115036,9526,IPO13,importin 13,9670.0,1
9671,A_23_P305914,9527,WSCD2,WSC domain containing 2,9671.0,12
9672,A_23_P74887,9528,SDC3,syndecan 3,9672.0,1
9673,A_24_P312325,9529,SLC25A44,"solute carrier family 25, member 44",9673.0,1
9674,A_24_P11142,9530,KIAA0040,KIAA0040,9674.0,1
9675,A_24_P327499,9531,KIAA0406,TELO2 interacting protein 1,9675.0,20
9677,A_23_P205818,9533,HISPPD2A,diphosphoinositol pentakisphosphate kinase 1,9677.0,15
9678,A_24_P21056,9534,PHF14,PHD finger protein 14,9678.0,7
9679,A_24_P406814,9535,FAM53B,"family with sequence similarity 53, member B",9679.0,10
9681,A_23_P91680,9537,DEPDC5,DEP domain containing 5,9681.0,22
9682,A_23_P74446,9538,KDM4A,lysine (K)-specific demethylase 4A,9682.0,1
9683,A_23_P432610,9539,N4BP1,NEDD4 binding protein 1,9683.0,16
9684,A_24_P363745,9540,LRRC14,leucine rich repeat containing 14,9684.0,8
9685,A_23_P133345,9541,CLINT1,clathrin interactor 1,9685.0,5
9686,A_24_P410582,9542,VGLL4,vestigial like 4 (Drosophila),9686.0,3
9687,A_23_P329768,9543,AC110754.1,growth regulation by estrogen in breast cancer 1,9687.0,2
9688,A_23_P89056,9544,NUP93,nucleoporin 93kDa,9688.0,16
9689,A_24_P362572,9545,BZW1,basic leucine zipper and W2 domains 1,9689.0,2
9690,A_23_P59481,9546,UBE3C,ubiquitin protein ligase E3C,9690.0,7
9692,CUST_14910_PI416261804,9548,KIAA0391,KIAA0391,9692.0,14
9693,A_23_P133095,9549,RAPGEF2,Rap guanine nucleotide exchange factor (GEF) 2,9693.0,4
9694,CUST_1933_PI416261804,9550,TTC35,ER membrane protein complex subunit 2,9694.0,8
9695,A_24_P285768,9551,EDEM1,"ER degradation enhancer, mannosidase alpha-like 1",9695.0,3
9696,CUST_454_PI416408490,9552,CROCC,"ciliary rootlet coiled-coil, rootletin",9696.0,1
9697,A_23_P58937,9553,TRAM2,translocation associated membrane protein 2,9697.0,6
9698,A_23_P170820,9554,PUM1,pumilio homolog 1 (Drosophila),9698.0,1
9699,CUST_38_PI416408490,9555,RIMS2,regulating synaptic membrane exocytosis 2,9699.0,8
9700,A_23_P32707,9556,ESPL1,extra spindle pole bodies homolog 1 (S. cerevisiae),9700.0,12
9701,A_23_P95353,9557,SAPS2,"protein phosphatase 6, regulatory subunit 2",9701.0,22
9702,CUST_6436_PI416261804,9558,CEP57,centrosomal protein 57kDa,9702.0,11
9703,A_23_P207614,9559,KIAA0100,KIAA0100,9703.0,17
9704,A_23_P142173,9560,DHX34,DEAH (Asp-Glu-Ala-His) box polypeptide 34,9704.0,19
9705,A_23_P31858,9561,ST18,suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein),9705.0,8
9706,A_23_P55107,9562,ULK2,unc-51-like kinase 2 (C. elegans),9706.0,17
9708,A_23_P390545,9564,PCDHGA8,"protocadherin gamma subfamily A, 8",9708.0,5
9709,A_23_P54846,9565,HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",9709.0,16
9710,CUST_69_PI417507815,9566,KIAA0355,KIAA0355,9710.0,19
9711,A_23_P304171,9567,KIAA0226,KIAA0226,9711.0,3
9712,A_23_P138426,9568,USP6NL,USP6 N-terminal like,9712.0,10
9715,A_24_P252310,9571,FAM131B,"family with sequence similarity 131, member B",9715.0,7
9716,A_24_P316305,9572,AQR,aquarius homolog (mouse),9716.0,15
9717,A_24_P254850,9573,SEC14L5,SEC14-like 5 (S. cerevisiae),9717.0,16
9718,A_23_P377299,9574,ECE2,endothelin converting enzyme 2,9718.0,3
9719,A_23_P20697,9575,ADAMTSL2,ADAMTS-like 2,9719.0,9
9720,A_32_P216369,9576,CCDC144A,coiled-coil domain containing 144A,9720.0,17
9721,CUST_120_PI416379584,9577,GPRIN2,G protein regulated inducer of neurite outgrowth 2,9721.0,10
9722,A_23_P74309,9578,NOS1AP,nitric oxide synthase 1 (neuronal) adaptor protein,9722.0,1
9723,A_23_P59582,9579,SEMA3E,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E",9723.0,7
9724,A_24_P201879,9580,UTP14C,"UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)",9724.0,13
9725,A_23_P200489,9581,TMEM63A,transmembrane protein 63A,9725.0,1
9726,A_24_P181510,9582,ZNF646,zinc finger protein 646,9726.0,16
9727,A_23_P106727,9583,RAB11FIP3,RAB11 family interacting protein 3 (class II),9727.0,16
9728,A_23_P37415,9584,SECISBP2L,SECIS binding protein 2-like,9728.0,15
9729,A_23_P215048,9585,KIAA0408,KIAA0408,9729.0,6
9730,A_24_P26170,9586,VPRBP,Vpr (HIV-1) binding protein,9730.0,3
9731,A_23_P200043,9587,KIAA0562,centrosomal protein 104kDa,9731.0,1
9732,A_23_P59637,9588,DOCK4,dedicator of cytokinesis 4,9732.0,7
9733,A_23_P87664,9589,SART3,squamous cell carcinoma antigen recognized by T cells 3,9733.0,12
9734,CUST_8167_PI416261804,9590,HDAC9,histone deacetylase 9,9734.0,7
9735,A_23_P136817,9591,KNTC1,kinetochore associated 1,9735.0,12
9736,A_24_P410809,9592,USP34,ubiquitin specific peptidase 34,9736.0,2
9737,A_23_P96590,9593,GPRASP1,G protein-coupled receptor associated sorting protein 1,9737.0,X
9738,A_24_P373286,9594,AC012621.2,centriolar coiled coil protein 110kDa,9738.0,16
9739,A_23_P129678,9595,SETD1A,SET domain containing 1A,9739.0,16
9741,A_23_P90659,9597,LAPTM4A,lysosomal protein transmembrane 4 alpha,9741.0,2
9742,A_23_P140725,9598,IFT140,intraflagellar transport 140 homolog (Chlamydomonas),9742.0,16
9743,A_23_P161686,9599,AP000751.3,Rho GTPase activating protein 32,9743.0,11
9744,A_24_P630640,9600,ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",9744.0,17
9745,A_23_P130811,9601,ZNF536,zinc finger protein 536,9745.0,19
9746,A_23_P53724,9602,CLSTN3,calsyntenin 3,9746.0,12
9747,A_32_P56525,9603,FAM115A,"family with sequence similarity 115, member A",9747.0,7
9748,A_23_P202199,9604,SLK,STE20-like kinase,9748.0,10
9749,A_23_P111240,9605,PHACTR2,phosphatase and actin regulator 2,9749.0,6
9750,A_24_P941359,9606,FAM65B,"family with sequence similarity 65, member B",9750.0,6
9751,A_23_P102706,9607,SNPH,syntaphilin,9751.0,20
9752,A_23_P323102,9608,PCDHA9,protocadherin alpha 9,9752.0,5
9753,CUST_2683_PI416261804,9609,ZSCAN12,zinc finger and SCAN domain containing 12,9753.0,6
9754,A_23_P387630,9610,STARD8,StAR-related lipid transfer (START) domain containing 8,9754.0,X
9755,A_23_P130169,9611,TBKBP1,TBK1 binding protein 1,9755.0,17
9757,A_23_P142421,9613,AD000671.1,myeloid/lymphoid or mixed-lineage leukemia 4,9757.0,19
9758,A_24_P940275,9614,FRMPD4,FERM and PDZ domain containing 4,9758.0,X
9759,A_24_P359859,9615,HDAC4,histone deacetylase 4,9759.0,2
9760,A_24_P226755,9616,TOX,thymocyte selection-associated high mobility group box,9760.0,8
9761,A_23_P2554,9617,MLEC,malectin,9761.0,12
9762,A_23_P380298,9618,RP5-1187M17.1,ProSAPiP1 protein,9762.0,20
9764,A_23_P206310,9620,KIAA0513,KIAA0513,9764.0,16
9765,A_24_P286054,9621,ZFYVE16,"zinc finger, FYVE domain containing 16",9765.0,5
9766,A_23_P371787,9622,KIAA0247,KIAA0247,9766.0,14
9767,A_24_P203072,9623,PHF16,PHD finger protein 16,9767.0,X
9768,A_23_P117852,9624,KIAA0101,KIAA0101,9768.0,15
9770,A_23_P166087,9626,RASSF2,Ras association (RalGDS/AF-6) domain family member 2,9770.0,20
9771,A_32_P185530,9627,RAPGEF5,Rap guanine nucleotide exchange factor (GEF) 5,9771.0,7
9772,CUST_746_PI416261804,9628,KIAA0195,KIAA0195,9772.0,17
9774,CUST_4649_PI416261804,9630,BCLAF1,BCL2-associated transcription factor 1,9774.0,6
9775,A_23_P141636,9631,EIF4A3,eukaryotic translation initiation factor 4A3,9775.0,17
9776,A_23_P95292,9632,ATG13,autophagy related 13,9776.0,11
9777,A_24_P14531,9633,TM9SF4,transmembrane 9 superfamily protein member 4,9777.0,20
9778,A_23_P327069,9634,KIAA0232,KIAA0232,9778.0,4
9779,A_24_P289029,9635,TBC1D5,"TBC1 domain family, member 5",9779.0,3
9780,A_23_P168916,9636,FAM38A,piezo-type mechanosensitive ion channel component 1,9780.0,16
9781,A_24_P37264,9637,RNF144A,ring finger protein 144A,9781.0,2
9782,A_23_P70047,9638,MATR3,matrin 3,9782.0,5
9783,A_23_P319583,9639,RIMS3,regulating synaptic membrane exocytosis 3,9783.0,1
9784,A_23_P28233,9640,SNX17,sorting nexin 17,9784.0,2
9785,A_23_P38011,9641,DHX38,DEAH (Asp-Glu-Ala-His) box polypeptide 38,9785.0,16
9786,A_23_P106127,9642,KIAA0586,KIAA0586,9786.0,14
9787,CUST_13705_PI416261804,9643,DLGAP5,"discs, large (Drosophila) homolog-associated protein 5",9787.0,14
9788,A_23_P347632,9644,MTSS1,metastasis suppressor 1,9788.0,8
9789,A_23_P2143,9645,SPCS2,signal peptidase complex subunit 2 homolog (S. cerevisiae),9789.0,11
9790,A_23_P109420,9646,BMS1,"BMS1 homolog, ribosome assembly protein (yeast)",9790.0,10
9791,A_23_P168868,9647,PTDSS1,phosphatidylserine synthase 1,9791.0,8
9792,A_24_P294124,9648,SERTAD2,SERTA domain containing 2,9792.0,2
9793,A_23_P135977,9649,CKAP5,cytoskeleton associated protein 5,9793.0,11
9794,A_24_P311694,9650,MAML1,mastermind-like 1 (Drosophila),9794.0,5
9796,A_23_P433229,9652,AC105206.1,phytanoyl-CoA 2-hydroxylase interacting protein,9796.0,8
9797,A_23_P57819,9653,TATDN2,TatD DNase domain containing 2,9797.0,3
9798,A_24_P339157,9654,IST1,increased sodium tolerance 1 homolog (yeast),9798.0,16
9801,A_23_P102262,9657,MRPL19,mitochondrial ribosomal protein L19,9801.0,2
9802,A_23_P40025,9658,DAZAP2,DAZ associated protein 2,9802.0,12
9804,A_24_P216765,9660,TOMM20,translocase of outer mitochondrial membrane 20 homolog (yeast),9804.0,1
9805,A_23_P366366,9661,SCRN1,secernin 1,9805.0,7
9806,A_23_P161280,9662,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",9806.0,10
9807,A_24_P396105,9663,IP6K1,inositol hexakisphosphate kinase 1,9807.0,3
9808,CUST_8821_PI416261804,9664,KIAA0087,KIAA0087,9808.0,7
9810,A_23_P364890,9666,RNF40,"ring finger protein 40, E3 ubiquitin protein ligase",9810.0,16
9811,A_23_P207967,9667,KIAA0427,CBP80/20-dependent translation initiation factor,9811.0,18
9812,A_24_P63563,9668,KIAA0141,KIAA0141,9812.0,5
9813,A_23_P11564,9669,KIAA0494,KIAA0494,9813.0,1
9814,A_23_P80278,9670,SFI1,"Sfi1 homolog, spindle assembly associated (yeast)",9814.0,22
9815,A_23_P335848,9671,GIT2,G protein-coupled receptor kinase interacting ArfGAP 2,9815.0,12
9816,A_23_P74914,9672,URB2,URB2 ribosome biogenesis 2 homolog (S. cerevisiae),9816.0,1
9817,A_23_P119141,9673,KEAP1,kelch-like ECH-associated protein 1,9817.0,19
9818,A_23_P390190,9674,NUPL1,nucleoporin like 1,9818.0,13
9819,A_23_P92230,9675,TSC22D2,"TSC22 domain family, member 2",9819.0,3
9820,A_23_P19348,9676,CUL7,cullin 7,9820.0,6
9821,A_23_P9056,9677,RB1CC1,RB1-inducible coiled-coil 1,9821.0,8
9823,A_23_P73747,9679,ARMCX2,"armadillo repeat containing, X-linked 2",9823.0,X
9824,A_32_P147090,9680,ARHGAP11A,Rho GTPase activating protein 11A,9824.0,15
9825,A_23_P210554,9681,SPATA2,spermatogenesis associated 2,9825.0,20
9826,A_23_P426809,9682,ARHGEF11,Rho guanine nucleotide exchange factor (GEF) 11,9826.0,1
9827,CUST_110_PI416573500,9683,RGP1,RGP1 retrograde golgi transport homolog (S. cerevisiae),9827.0,9
9828,A_23_P76015,9684,ARHGEF17,Rho guanine nucleotide exchange factor (GEF) 17,9828.0,11
9829,A_23_P95359,9685,DNAJC6,"DnaJ (Hsp40) homolog, subfamily C, member 6",9829.0,1
9830,A_23_P216655,9686,TRIM14,tripartite motif containing 14,9830.0,9
9831,CUST_1108_PI416261804,9687,ZNF623,zinc finger protein 623,9831.0,8
9832,CUST_14890_PI416261804,9688,JAKMIP2,janus kinase and microtubule interacting protein 2,9832.0,5
9833,A_23_P94422,9689,MELK,maternal embryonic leucine zipper kinase,9833.0,9
9834,A_23_P140190,9690,KIAA0125,KIAA0125,9834.0,14
9836,A_23_P106505,9692,LCMT2,leucine carboxyl methyltransferase 2,9836.0,15
9837,A_23_P210853,9693,GINS1,GINS complex subunit 1 (Psf1 homolog),9837.0,20
9839,A_23_P142560,9695,ZEB2,zinc finger E-box binding homeobox 2,9839.0,2
9840,A_23_P105423,9696,KIAA0748,"thymocyte expressed, positive selection associated 1",9840.0,12
9841,A_23_P134147,9697,ZBTB24,zinc finger and BTB domain containing 24,9841.0,6
9842,A_23_P152727,9698,PLEKHM1,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
9843,A_23_P22526,9699,HEPH,hephaestin,9843.0,X
9844,A_23_P122937,9700,ELMO1,engulfment and cell motility 1,9844.0,7
9846,A_23_P203743,9702,GAB2,GRB2-associated binding protein 2,9846.0,11
9847,A_23_P151027,9703,KIAA0528,KIAA0528,9847.0,12
9848,A_24_P76675,9704,MFAP3L,microfibrillar-associated protein 3-like,9848.0,4
9849,A_23_P35576,9705,ZNF518A,zinc finger protein 518A,9849.0,10
9851,A_23_P89543,9707,KIAA0753,KIAA0753,9851.0,17
9852,A_23_P415622,9708,EPM2AIP1,EPM2A (laforin) interacting protein 1,9852.0,3
9853,A_23_P216549,9709,RUSC2,RUN and SH3 domain containing 2,9853.0,9
9854,A_23_P353056,9710,C2CD2L,C2CD2-like,9854.0,11
9855,A_23_P90855,9711,FARP2,"FERM, RhoGEF and pleckstrin domain protein 2",9855.0,2
9856,A_23_P168324,9712,KIAA0319,KIAA0319,9856.0,6
9857,A_23_P201816,9713,CEP350,centrosomal protein 350kDa,9857.0,1
9858,A_23_P146497,9714,KIAA0649,"protein phosphatase 1, regulatory subunit 26",9858.0,9
9859,A_23_P23151,9715,CEP170,centrosomal protein 170kDa,9859.0,1
9860,A_23_P160869,9716,LRIG2,leucine-rich repeats and immunoglobulin-like domains 2,9860.0,1
9861,A_23_P109928,9717,PSMD6,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",9861.0,3
9862,A_23_P124760,9718,MED24,mediator complex subunit 24,9862.0,17
9863,A_23_P21376,9719,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",9863.0,7
9865,A_24_P183664,9721,TRIL,TLR4 interactor with leucine-rich repeats,9865.0,7
9866,A_32_P396186,9722,TRIM66,tripartite motif containing 66,9866.0,11
9867,A_23_P133470,9723,PJA2,"praja ring finger 2, E3 ubiquitin protein ligase",9867.0,5
9868,CUST_9802_PI416261804,9724,TOMM70A,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae),9868.0,3
9869,A_23_P126393,9725,SETDB1,"SET domain, bifurcated 1",9869.0,1
9870,A_23_P369987,9726,KIAA0317,KIAA0317,9870.0,14
9871,A_23_P159382,9727,SEC24D,"SEC24 family, member D (S. cerevisiae)",9871.0,4
9873,A_23_P368278,9729,FCHSD2,FCH and double SH3 domains 2,9873.0,11
9874,A_23_P39684,9730,TLK1,tousled-like kinase 1,9874.0,2
9875,A_23_P57293,9731,URB1,URB1 ribosome biogenesis 1 homolog (S. cerevisiae),9875.0,21
9877,A_23_P255194,9733,ZC3H11A,zinc finger CCCH-type containing 11A,9877.0,1
9878,A_23_P404134,9734,TOX4,TOX high mobility group box family member 4,9878.0,14
9879,A_23_P30377,9735,DDX46,DEAD (Asp-Glu-Ala-Asp) box polypeptide 46,9879.0,5
9880,CUST_17_PI416383280,9736,ZBTB39,zinc finger and BTB domain containing 39,9880.0,12
9881,A_23_P322593,9737,LBA1,tetratricopeptide repeat and ankyrin repeat containing 1,9881.0,3
9882,CUST_11053_PI416261804,9738,TBC1D4,"TBC1 domain family, member 4",9882.0,13
9883,CUST_3192_PI416261804,9739,POM121,POM121 transmembrane nucleoporin,9883.0,7
9885,A_24_P408321,9741,OSBPL2,oxysterol binding protein-like 2,9885.0,20
9886,A_24_P158536,9742,RHOBTB1,Rho-related BTB domain containing 1,9886.0,10
9887,A_23_P201647,9743,SMG7,"smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)",9887.0,1
9889,A_24_P892353,9745,ZBED4,"zinc finger, BED-type containing 4",9889.0,22
9890,A_32_P148538,9746,RP4-788L13.1,lipid phosphate phosphatase-related protein type 4,9890.0,1
9891,A_23_P348257,9747,NUAK1,"NUAK family, SNF1-like kinase, 1",9891.0,12
9892,A_23_P214803,9748,SNAP91,"synaptosomal-associated protein, 91kDa homolog (mouse)",9892.0,6
9894,A_23_P206237,9750,TELO2,"TEL2, telomere maintenance 2, homolog (S. cerevisiae)",9894.0,16
9895,A_23_P394216,9751,TECPR2,tectonin beta-propeller repeat containing 2,9895.0,14
9896,CUST_14030_PI416261804,9752,FIG4,"FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)",9896.0,6
9897,CUST_5457_PI416261804,9753,KIAA0196,KIAA0196,9897.0,8
9898,CUST_5602_PI416261804,9754,UBAP2L,ubiquitin associated protein 2-like,9898.0,1
9899,A_23_P100022,9755,SV2B,synaptic vesicle glycoprotein 2B,9899.0,15
9900,A_23_P23728,9756,SV2A,synaptic vesicle glycoprotein 2A,9900.0,1
9901,A_23_P358410,9757,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,9901.0,3
9902,CUST_6731_PI416261804,9758,MRC2,"mannose receptor, C type 2",9902.0,17
9903,A_23_P341223,9759,KLHL21,kelch-like 21 (Drosophila),9903.0,1
9904,A_23_P204119,9760,RBM19,RNA binding motif protein 19,9904.0,12
9905,A_24_P92256,9761,SGSM2,small G protein signaling modulator 2,9905.0,17
9907,A_23_P134637,9763,AP5Z1,"adaptor-related protein complex 5, zeta 1 subunit",9907.0,7
9908,A_24_P380132,9764,G3BP2,GTPase activating protein (SH3 domain) binding protein 2,9908.0,4
9909,A_23_P774,9765,DENND4B,DENN/MADD domain containing 4B,9909.0,1
9910,A_24_P333525,9766,RABGAP1L,RAB GTPase activating protein 1-like,9910.0,1
9911,A_32_P133840,9767,TMCC2,transmembrane and coiled-coil domain family 2,9911.0,1
9912,A_23_P26854,9768,AC005277.1,Rho GTPase activating protein 44,9912.0,17
9913,A_23_P210091,9769,SUPT7L,suppressor of Ty 7 (S. cerevisiae)-like,9913.0,2
9914,A_23_P117992,9770,ATP2C2,"ATPase, Ca++ transporting, type 2C, member 2",9914.0,16
9915,A_23_P83579,9771,ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,9915.0,15
9917,A_24_P148043,9773,FAM20B,"family with sequence similarity 20, member B",9917.0,1
9918,A_23_P25293,9774,NCAPD2,"non-SMC condensin I complex, subunit D2",9918.0,12
9919,A_23_P251303,9775,SEC16A,SEC16 homolog A (S. cerevisiae),9919.0,9
9920,A_23_P94319,9776,KBTBD11,kelch repeat and BTB (POZ) domain containing 11,9920.0,8
9921,A_23_P53630,9777,RNF10,ring finger protein 10,9921.0,12
9922,A_23_P6746,9778,IQSEC1,IQ motif and Sec7 domain 1,9922.0,3
9923,A_23_P387523,9779,ZBTB40,zinc finger and BTB domain containing 40,9923.0,1
9924,CUST_9666_PI416261804,9780,PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae),9924.0,12
9925,A_23_P216476,9781,ZBTB5,zinc finger and BTB domain containing 5,9925.0,9
9926,A_23_P46606,9782,LPGAT1,lysophosphatidylglycerol acyltransferase 1,9926.0,1
9927,A_23_P126135,9783,MFN2,mitofusin 2,9927.0,1
9928,A_23_P149668,9784,KIF14,kinesin family member 14,9928.0,1
9929,A_24_P271527,9785,JOSD1,Josephin domain containing 1,9929.0,22
9931,A_23_P100693,9787,HELZ,helicase with zinc finger,9931.0,17
9933,A_23_P20683,9789,KIAA0020,KIAA0020,9933.0,9
9934,A_24_P165864,9790,P2RY14,"purinergic receptor P2Y, G-protein coupled, 14",9934.0,3
9935,CUST_445_PI416408490,9791,MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935.0,20
9936,A_24_P396702,9792,CD302,CD302 molecule,9936.0,2
9937,A_23_P75038,9793,DCLRE1A,DNA cross-link repair 1A,9937.0,10
9938,A_23_P142974,9794,ARHGAP25,Rho GTPase activating protein 25,9938.0,2
9939,A_23_P104116,9795,RBM8A,RNA binding motif protein 8A,9939.0,1
9940,A_23_P18282,9796,DLEC1,deleted in lung and esophageal cancer 1,9940.0,3
9941,A_23_P250714,9797,EXOG,"endo/exonuclease (5'-3'), endonuclease G-like",9941.0,3
9942,A_23_P212423,9798,XYLB,xylulokinase homolog (H. influenzae),9942.0,3
9943,A_24_P26114,9799,OXSR1,oxidative-stress responsive 1,9943.0,3
9945,A_23_P144916,9801,GFPT2,glutamine-fructose-6-phosphate transaminase 2,9945.0,5
9946,CUST_853_PI416261804,9802,CRYZL1,"crystallin, zeta (quinone reductase)-like 1",9946.0,21
9947,A_23_P217178,9803,MAGEC1,"melanoma antigen family C, 1",9947.0,X
9948,A_23_P502915,9804,WDR1,WD repeat domain 1,9948.0,4
9949,A_32_P201773,9805,AMMECR1,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1",9949.0,X
9950,A_23_P3193,9806,GOLGA5,golgin A5,9950.0,14
9951,A_23_P9711,9807,HS3ST4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4,9951.0,16
9953,A_24_P23625,9809,HS3ST3B1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1,9953.0,17
9955,CUST_10909_PI416261804,9811,HS3ST3A1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1,9955.0,17
9956,A_23_P118158,9812,HS3ST2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,9956.0,16
9957,A_23_P121657,9813,HS3ST1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,9957.0,4
9958,A_32_P57057,9814,USP15,ubiquitin specific peptidase 15,9958.0,12
9960,A_32_P3602,9816,USP3,ubiquitin specific peptidase 3,9960.0,15
9961,A_23_P88819,9817,MVP,major vault protein,9961.0,16
9962,A_24_P254278,9818,SLC23A2,"solute carrier family 23 (nucleobase transporters), member 2",9962.0,20
9963,A_23_P21990,9819,SLC23A1,"solute carrier family 23 (nucleobase transporters), member 1",9963.0,5
9965,A_23_P52714,9821,FGF19,fibroblast growth factor 19,9965.0,11
9966,A_23_P94754,9822,TNFSF15,"tumor necrosis factor (ligand) superfamily, member 15",9966.0,9
9967,A_24_P926367,9823,THRAP3,thyroid hormone receptor associated protein 3,9967.0,1
9968,A_23_P73702,9824,MED12,mediator complex subunit 12,9968.0,X
9969,A_24_P17077,9825,MED13,mediator complex subunit 13,9969.0,17
9970,A_23_P319572,9826,NR1I3,"nuclear receptor subfamily 1, group I, member 3",9970.0,1
9971,A_23_P25396,9827,NR1H4,"nuclear receptor subfamily 1, group H, member 4",9971.0,12
9972,A_23_P122254,9828,NUP153,nucleoporin 153kDa,9972.0,6
9973,A_23_P127475,9829,CCS,copper chaperone for superoxide dismutase,9973.0,11
9975,A_23_P302709,9831,NR1D2,"nuclear receptor subfamily 1, group D, member 2",9975.0,3
9976,A_23_P76480,9832,CLEC2B,"C-type lectin domain family 2, member B",9976.0,12
9978,A_23_P211550,9834,RBX1,"ring-box 1, E3 ubiquitin protein ligase",9978.0,22
9980,CUST_7236_PI416261804,9836,DOPEY2,dopey family member 2,9980.0,21
9982,CUST_1665_PI416261804,9838,FGFBP1,fibroblast growth factor binding protein 1,9982.0,4
9984,A_23_P78372,9840,THOC1,THO complex 1,9984.0,18
